provinsi,kabupaten_kota,kecamatan,desa_kelurahan
ACEH,KAB. ACEH SELATAN,Trumon Timur,Titi Poben
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Buket Gadeng
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Rambong
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Seuneubok Keuranji
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Seuneubok Alur Buloh
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Ujong Tanoh
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Ujong Gunong Cut
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Ujong Gunung Rayeuk
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Beutong
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Jambo Keupok
ACEH,KAB. ACEH SELATAN,Kota Bahagia,Alurduamas
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Ladang Rimba
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Gunong Kapho
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Kampong Teungoh
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Krueng Batee
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Pulo Paya
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Jambo Papeun
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Cot Bayu
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Naca
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Ie Jeureuneh
ACEH,KAB. ACEH SELATAN,Trumon Tengah,Lhok Raya
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Engkeran
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Rumah Kampung
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Pasir Bangun
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Kubu
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Lawe Kongker
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Kuta Cingkam II
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Muara Baru
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Kuta Batu I
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Kuta Cingkam I
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Kuta Batu II
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Lawe Sempilang
ACEH,KAB. ACEH TENGGARA,Lawe Alas,Prapat Batu Nunggul
